Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Matrix Width (elements);Matrix Height (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
54,91;55,87;145,08;3328;3328;2;0;1;1;1;0;14;0;0;4;0;0;0;0;44302336;1088;3328;3328;1;16;16;1;1;3,500;0,000
36,82;59,32;152,56;3392;3392;2;0;1;1;1;0;14;0;0;4;0;0;0;0;46022656;1088;3392;3392;1;16;16;1;1;3,500;0,000
37,07;61,58;156,09;3456;3456;2;0;1;1;1;0;14;0;0;4;0;0;0;0;47775744;1088;3456;3456;1;16;16;1;1;3,500;0,000
37,22;62,45;165,39;3520;3520;2;0;1;1;1;0;14;0;0;4;0;0;0;0;49561600;1088;3520;3520;1;16;16;1;1;3,500;0,000
42,57;64,27;166,65;3584;3584;2;0;1;1;1;0;14;0;0;4;0;0;0;0;51380224;1088;3584;3584;1;16;16;1;1;3,500;0,000
40,40;70,13;175,44;3648;3648;2;0;1;1;1;0;14;0;0;4;0;0;0;0;53231616;1088;3648;3648;1;16;16;1;1;3,500;0,000
42,51;71,94;179,46;3712;3712;2;0;1;1;1;0;14;0;0;4;0;0;0;0;55115776;1088;3712;3712;1;16;16;1;1;3,500;0,000
42,89;74,34;188,81;3776;3776;2;0;1;1;1;0;14;0;0;4;0;0;0;0;57032704;1088;3776;3776;1;16;16;1;1;3,500;0,000
44,89;74,19;195,50;3840;3840;2;0;1;1;1;0;14;0;0;4;0;0;0;0;58982400;1088;3840;3840;1;16;16;1;1;3,500;0,000
45,33;77,71;199,40;3904;3904;2;0;1;1;1;0;14;0;0;4;0;0;0;0;60964864;1088;3904;3904;1;16;16;1;1;3,500;0,000
47,42;78,64;206,12;3968;3968;2;0;1;1;1;0;14;0;0;4;0;0;0;0;62980096;1088;3968;3968;1;16;16;1;1;3,500;0,000
47,42;81,86;216,07;4032;4032;2;0;1;1;1;0;14;0;0;4;0;0;0;0;65028096;1088;4032;4032;1;16;16;1;1;3,500;0,000
65,63;91,24;220,26;4096;4096;2;0;1;1;1;0;14;0;0;4;0;0;0;0;67108864;1088;4096;4096;1;16;16;1;1;3,500;0,000
