Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Matrix Width (elements);Matrix Height (elements);Filter Width (elements);Filter Height (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
14,89;13,29;34,24;1920;1920;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;14807204;14745600;0;1920;1920;1;16;16;1;1;18,960;3,118
15,61;14,74;35,02;1984;1984;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;15808676;15745024;0;1984;1984;1;16;16;1;1;18,962;3,119
19,09;14,94;40,94;2048;2048;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;16842916;16777216;0;2048;2048;1;16;16;1;1;18,963;3,119
3,41;3,83;3,25;64;64;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;19796;16384;0;64;64;1;16;16;1;1;31,926;5,547
4,46;3,62;3,70;128;128;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;72020;65536;0;128;128;1;16;16;1;1;33,588;5,836
4,12;4,73;3,69;192;192;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;157012;147456;0;192;192;1;16;16;1;1;34,144;5,933
3,77;3,99;4,83;256;256;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;274772;262144;0;256;256;1;16;16;1;1;34,421;5,981
4,46;4,19;5,05;320;320;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;425300;409600;0;320;320;1;16;16;1;1;34,587;6,010
4,72;5,02;6,19;384;384;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;608596;589824;0;384;384;1;16;16;1;1;34,698;6,029
5,13;4,97;7,59;448;448;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;824660;802816;0;448;448;1;16;16;1;1;34,777;6,043
4,44;5,56;7,18;512;512;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;1073492;1048576;0;512;512;1;16;16;1;1;34,836;6,053
4,95;5,39;8,43;576;576;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;1355092;1327104;0;576;576;1;16;16;1;1;34,882;6,061
4,93;5,57;10,12;640;640;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;1669460;1638400;0;640;640;1;16;16;1;1;34,919;6,067
5,17;6,21;10,89;704;704;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;2016596;1982464;0;704;704;1;16;16;1;1;34,949;6,073
5,96;6,62;13,16;768;768;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;2396500;2359296;0;768;768;1;16;16;1;1;34,974;6,077
6,08;6,54;13,37;832;832;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;2809172;2768896;0;832;832;1;16;16;1;1;34,995;6,081
6,30;6,80;15,77;896;896;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;3254612;3211264;0;896;896;1;16;16;1;1;35,014;6,084
6,45;7,27;17,83;960;960;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;3732820;3686400;0;960;960;1;16;16;1;1;35,029;6,087
6,73;8,14;20,32;1024;1024;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;4243796;4194304;0;1024;1024;1;16;16;1;1;35,043;6,089
7,44;7,96;20,59;1088;1088;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;4787540;4734976;0;1088;1088;1;16;16;1;1;35,055;6,091
7,79;8,41;21,93;1152;1152;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;5364052;5308416;0;1152;1152;1;16;16;1;1;35,066;6,093
8,08;9,56;26,48;1216;1216;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;5973332;5914624;0;1216;1216;1;16;16;1;1;35,076;6,095
9,34;10,20;26,68;1280;1280;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;6615380;6553600;0;1280;1280;1;16;16;1;1;35,085;6,096
9,27;10,45;30,07;1344;1344;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;7290196;7225344;0;1344;1344;1;16;16;1;1;35,093;6,098
9,66;10,40;33,21;1408;1408;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;7997780;7929856;0;1408;1408;1;16;16;1;1;35,100;6,099
10,44;11,01;36,08;1472;1472;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;8738132;8667136;0;1472;1472;1;16;16;1;1;35,106;6,100
10,45;11,68;37,10;1536;1536;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;9511252;9437184;0;1536;1536;1;16;16;1;1;35,112;6,101
11,29;13,02;39,87;1600;1600;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;10317140;10240000;0;1600;1600;1;16;16;1;1;35,118;6,102
11,53;13,50;43,77;1664;1664;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;11155796;11075584;0;1664;1664;1;16;16;1;1;35,123;6,103
12,09;14,18;46,37;1728;1728;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;12027220;11943936;0;1728;1728;1;16;16;1;1;35,128;6,104
