Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Vector Size (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
19,90;18,19;19,24;4829184;0;2;1;0;0;0;1;0;0;0;0;0;0;38633472;19316736;0;4829184;1;1;128;1;1;;0,083;0,167
18,88;18,25;17,82;4831232;0;2;1;0;0;0;1;0;0;0;0;0;0;38649856;19324928;0;4831232;1;1;128;1;1;;0,083;0,167
18,90;18,00;19,64;4833280;0;2;1;0;0;0;1;0;0;0;0;0;0;38666240;19333120;0;4833280;1;1;128;1;1;;0,083;0,167
18,63;18,24;18,66;4835328;0;2;1;0;0;0;1;0;0;0;0;0;0;38682624;19341312;0;4835328;1;1;128;1;1;;0,083;0,167
19,64;18,20;19,40;4837376;0;2;1;0;0;0;1;0;0;0;0;0;0;38699008;19349504;0;4837376;1;1;128;1;1;;0,083;0,167
18,65;17,96;18,30;4839424;0;2;1;0;0;0;1;0;0;0;0;0;0;38715392;19357696;0;4839424;1;1;128;1;1;;0,083;0,167
19,07;18,18;19,87;4841472;0;2;1;0;0;0;1;0;0;0;0;0;0;38731776;19365888;0;4841472;1;1;128;1;1;;0,083;0,167
18,88;18,17;18,95;4843520;0;2;1;0;0;0;1;0;0;0;0;0;0;38748160;19374080;0;4843520;1;1;128;1;1;;0,083;0,167
18,93;18,24;19,52;4845568;0;2;1;0;0;0;1;0;0;0;0;0;0;38764544;19382272;0;4845568;1;1;128;1;1;;0,083;0,167
18,83;18,76;19,28;4847616;0;2;1;0;0;0;1;0;0;0;0;0;0;38780928;19390464;0;4847616;1;1;128;1;1;;0,083;0,167
19,38;18,08;21,35;4849664;0;2;1;0;0;0;1;0;0;0;0;0;0;38797312;19398656;0;4849664;1;1;128;1;1;;0,083;0,167
18,74;18,18;19,75;4851712;0;2;1;0;0;0;1;0;0;0;0;0;0;38813696;19406848;0;4851712;1;1;128;1;1;;0,083;0,167
18,76;18,25;19,75;4853760;0;2;1;0;0;0;1;0;0;0;0;0;0;38830080;19415040;0;4853760;1;1;128;1;1;;0,083;0,167
19,12;18,32;19,04;4855808;0;2;1;0;0;0;1;0;0;0;0;0;0;38846464;19423232;0;4855808;1;1;128;1;1;;0,083;0,167
18,63;18,14;19,52;4857856;0;2;1;0;0;0;1;0;0;0;0;0;0;38862848;19431424;0;4857856;1;1;128;1;1;;0,083;0,167
18,72;18,06;18,42;4859904;0;2;1;0;0;0;1;0;0;0;0;0;0;38879232;19439616;0;4859904;1;1;128;1;1;;0,083;0,167
19,95;18,06;19,58;4861952;0;2;1;0;0;0;1;0;0;0;0;0;0;38895616;19447808;0;4861952;1;1;128;1;1;;0,083;0,167
20,26;18,30;19,30;4864000;0;2;1;0;0;0;1;0;0;0;0;0;0;38912000;19456000;0;4864000;1;1;128;1;1;;0,083;0,167
19,41;18,30;19,38;4866048;0;2;1;0;0;0;1;0;0;0;0;0;0;38928384;19464192;0;4866048;1;1;128;1;1;;0,083;0,167
19,23;18,16;18,74;4868096;0;2;1;0;0;0;1;0;0;0;0;0;0;38944768;19472384;0;4868096;1;1;128;1;1;;0,083;0,167
18,81;18,12;20,18;4870144;0;2;1;0;0;0;1;0;0;0;0;0;0;38961152;19480576;0;4870144;1;1;128;1;1;;0,083;0,167
18,66;18,12;19,03;4872192;0;2;1;0;0;0;1;0;0;0;0;0;0;38977536;19488768;0;4872192;1;1;128;1;1;;0,083;0,167
18,88;18,27;19,80;4874240;0;2;1;0;0;0;1;0;0;0;0;0;0;38993920;19496960;0;4874240;1;1;128;1;1;;0,083;0,167
18,88;17,98;19,84;4876288;0;2;1;0;0;0;1;0;0;0;0;0;0;39010304;19505152;0;4876288;1;1;128;1;1;;0,083;0,167
19,34;18,46;19,15;4878336;0;2;1;0;0;0;1;0;0;0;0;0;0;39026688;19513344;0;4878336;1;1;128;1;1;;0,083;0,167
18,72;18,14;19,20;4880384;0;2;1;0;0;0;1;0;0;0;0;0;0;39043072;19521536;0;4880384;1;1;128;1;1;;0,083;0,167
18,96;18,49;22,78;4882432;0;2;1;0;0;0;1;0;0;0;0;0;0;39059456;19529728;0;4882432;1;1;128;1;1;;0,083;0,167
18,80;18,22;19,81;4884480;0;2;1;0;0;0;1;0;0;0;0;0;0;39075840;19537920;0;4884480;1;1;128;1;1;;0,083;0,167
18,73;18,12;20,01;4886528;0;2;1;0;0;0;1;0;0;0;0;0;0;39092224;19546112;0;4886528;1;1;128;1;1;;0,083;0,167
19,98;18,41;20,18;4888576;0;2;1;0;0;0;1;0;0;0;0;0;0;39108608;19554304;0;4888576;1;1;128;1;1;;0,083;0,167
18,73;18,28;19,46;4890624;0;2;1;0;0;0;1;0;0;0;0;0;0;39124992;19562496;0;4890624;1;1;128;1;1;;0,083;0,167
18,76;18,15;18,51;4892672;0;2;1;0;0;0;1;0;0;0;0;0;0;39141376;19570688;0;4892672;1;1;128;1;1;;0,083;0,167
19,14;18,42;20,58;4894720;0;2;1;0;0;0;1;0;0;0;0;0;0;39157760;19578880;0;4894720;1;1;128;1;1;;0,083;0,167
20,10;18,21;19,50;4896768;0;2;1;0;0;0;1;0;0;0;0;0;0;39174144;19587072;0;4896768;1;1;128;1;1;;0,083;0,167
19,41;18,19;20,22;4898816;0;2;1;0;0;0;1;0;0;0;0;0;0;39190528;19595264;0;4898816;1;1;128;1;1;;0,083;0,167
19,00;18,36;19,88;4900864;0;2;1;0;0;0;1;0;0;0;0;0;0;39206912;19603456;0;4900864;1;1;128;1;1;;0,083;0,167
18,96;18,43;18,91;4902912;0;2;1;0;0;0;1;0;0;0;0;0;0;39223296;19611648;0;4902912;1;1;128;1;1;;0,083;0,167
19,04;18,25;18,76;4904960;0;2;1;0;0;0;1;0;0;0;0;0;0;39239680;19619840;0;4904960;1;1;128;1;1;;0,083;0,167
19,57;18,46;19,20;4907008;0;2;1;0;0;0;1;0;0;0;0;0;0;39256064;19628032;0;4907008;1;1;128;1;1;;0,083;0,167
18,85;18,26;19,65;4909056;0;2;1;0;0;0;1;0;0;0;0;0;0;39272448;19636224;0;4909056;1;1;128;1;1;;0,083;0,167
18,80;18,21;20,44;4911104;0;2;1;0;0;0;1;0;0;0;0;0;0;39288832;19644416;0;4911104;1;1;128;1;1;;0,083;0,167
19,33;18,36;19,99;4913152;0;2;1;0;0;0;1;0;0;0;0;0;0;39305216;19652608;0;4913152;1;1;128;1;1;;0,083;0,167
18,65;18,36;22,25;4915200;0;2;1;0;0;0;1;0;0;0;0;0;0;39321600;19660800;0;4915200;1;1;128;1;1;;0,083;0,167
18,84;18,28;19,29;4917248;0;2;1;0;0;0;1;0;0;0;0;0;0;39337984;19668992;0;4917248;1;1;128;1;1;;0,083;0,167
19,41;18,43;19,59;4919296;0;2;1;0;0;0;1;0;0;0;0;0;0;39354368;19677184;0;4919296;1;1;128;1;1;;0,083;0,167
19,05;18,15;19,53;4921344;0;2;1;0;0;0;1;0;0;0;0;0;0;39370752;19685376;0;4921344;1;1;128;1;1;;0,083;0,167
18,96;18,44;19,10;4923392;0;2;1;0;0;0;1;0;0;0;0;0;0;39387136;19693568;0;4923392;1;1;128;1;1;;0,083;0,167
19,52;18,33;19,12;4925440;0;2;1;0;0;0;1;0;0;0;0;0;0;39403520;19701760;0;4925440;1;1;128;1;1;;0,083;0,167
19,04;18,50;20,50;4927488;0;2;1;0;0;0;1;0;0;0;0;0;0;39419904;19709952;0;4927488;1;1;128;1;1;;0,083;0,167
18,82;18,51;19,71;4929536;0;2;1;0;0;0;1;0;0;0;0;0;0;39436288;19718144;0;4929536;1;1;128;1;1;;0,083;0,167
19,08;18,47;20,83;4931584;0;2;1;0;0;0;1;0;0;0;0;0;0;39452672;19726336;0;4931584;1;1;128;1;1;;0,083;0,167
19,41;18,58;20,20;4933632;0;2;1;0;0;0;1;0;0;0;0;0;0;39469056;19734528;0;4933632;1;1;128;1;1;;0,083;0,167
19,11;18,62;19,44;4935680;0;2;1;0;0;0;1;0;0;0;0;0;0;39485440;19742720;0;4935680;1;1;128;1;1;;0,083;0,167
18,83;18,65;19,61;4937728;0;2;1;0;0;0;1;0;0;0;0;0;0;39501824;19750912;0;4937728;1;1;128;1;1;;0,083;0,167
19,42;18,57;19,83;4939776;0;2;1;0;0;0;1;0;0;0;0;0;0;39518208;19759104;0;4939776;1;1;128;1;1;;0,083;0,167
18,81;18,59;18,84;4941824;0;2;1;0;0;0;1;0;0;0;0;0;0;39534592;19767296;0;4941824;1;1;128;1;1;;0,083;0,167
19,14;18,33;19,62;4943872;0;2;1;0;0;0;1;0;0;0;0;0;0;39550976;19775488;0;4943872;1;1;128;1;1;;0,083;0,167
18,98;18,35;19,18;4945920;0;2;1;0;0;0;1;0;0;0;0;0;0;39567360;19783680;0;4945920;1;1;128;1;1;;0,083;0,167
19,03;18,37;21,50;4947968;0;2;1;0;0;0;1;0;0;0;0;0;0;39583744;19791872;0;4947968;1;1;128;1;1;;0,083;0,167
18,89;18,58;20,48;4950016;0;2;1;0;0;0;1;0;0;0;0;0;0;39600128;19800064;0;4950016;1;1;128;1;1;;0,083;0,167
18,80;18,54;19,13;4952064;0;2;1;0;0;0;1;0;0;0;0;0;0;39616512;19808256;0;4952064;1;1;128;1;1;;0,083;0,167
19,73;18,07;19,26;4954112;0;2;1;0;0;0;1;0;0;0;0;0;0;39632896;19816448;0;4954112;1;1;128;1;1;;0,083;0,167
19,91;18,66;19,61;4956160;0;2;1;0;0;0;1;0;0;0;0;0;0;39649280;19824640;0;4956160;1;1;128;1;1;;0,083;0,167
19,53;18,47;19,02;4958208;0;2;1;0;0;0;1;0;0;0;0;0;0;39665664;19832832;0;4958208;1;1;128;1;1;;0,083;0,167
19,33;18,71;19,55;4960256;0;2;1;0;0;0;1;0;0;0;0;0;0;39682048;19841024;0;4960256;1;1;128;1;1;;0,083;0,167
20,14;18,71;19,47;4962304;0;2;1;0;0;0;1;0;0;0;0;0;0;39698432;19849216;0;4962304;1;1;128;1;1;;0,083;0,167
19,68;18,71;19,06;4964352;0;2;1;0;0;0;1;0;0;0;0;0;0;39714816;19857408;0;4964352;1;1;128;1;1;;0,083;0,167
18,67;18,52;19,59;4966400;0;2;1;0;0;0;1;0;0;0;0;0;0;39731200;19865600;0;4966400;1;1;128;1;1;;0,083;0,167
19,46;18,71;20,14;4968448;0;2;1;0;0;0;1;0;0;0;0;0;0;39747584;19873792;0;4968448;1;1;128;1;1;;0,083;0,167
19,07;18,57;19,00;4970496;0;2;1;0;0;0;1;0;0;0;0;0;0;39763968;19881984;0;4970496;1;1;128;1;1;;0,083;0,167
19,01;18,10;19,01;4972544;0;2;1;0;0;0;1;0;0;0;0;0;0;39780352;19890176;0;4972544;1;1;128;1;1;;0,083;0,167
19,20;18,68;20,70;4974592;0;2;1;0;0;0;1;0;0;0;0;0;0;39796736;19898368;0;4974592;1;1;128;1;1;;0,083;0,167
19,16;18,49;19,08;4976640;0;2;1;0;0;0;1;0;0;0;0;0;0;39813120;19906560;0;4976640;1;1;128;1;1;;0,083;0,167
19,68;18,70;19,66;4978688;0;2;1;0;0;0;1;0;0;0;0;0;0;39829504;19914752;0;4978688;1;1;128;1;1;;0,083;0,167
19,51;18,56;21,40;4980736;0;2;1;0;0;0;1;0;0;0;0;0;0;39845888;19922944;0;4980736;1;1;128;1;1;;0,083;0,167
19,66;18,18;19,80;4982784;0;2;1;0;0;0;1;0;0;0;0;0;0;39862272;19931136;0;4982784;1;1;128;1;1;;0,083;0,167
19,13;18,50;19,69;4984832;0;2;1;0;0;0;1;0;0;0;0;0;0;39878656;19939328;0;4984832;1;1;128;1;1;;0,083;0,167
19,26;18,66;19,95;4986880;0;2;1;0;0;0;1;0;0;0;0;0;0;39895040;19947520;0;4986880;1;1;128;1;1;;0,083;0,167
19,21;18,70;19,50;4988928;0;2;1;0;0;0;1;0;0;0;0;0;0;39911424;19955712;0;4988928;1;1;128;1;1;;0,083;0,167
19,23;18,77;19,11;4990976;0;2;1;0;0;0;1;0;0;0;0;0;0;39927808;19963904;0;4990976;1;1;128;1;1;;0,083;0,167
19,16;18,51;19,79;4993024;0;2;1;0;0;0;1;0;0;0;0;0;0;39944192;19972096;0;4993024;1;1;128;1;1;;0,083;0,167
19,27;18,83;19,55;4995072;0;2;1;0;0;0;1;0;0;0;0;0;0;39960576;19980288;0;4995072;1;1;128;1;1;;0,083;0,167
19,70;18,81;19,83;4997120;0;2;1;0;0;0;1;0;0;0;0;0;0;39976960;19988480;0;4997120;1;1;128;1;1;;0,083;0,167
19,15;18,28;19,67;4999168;0;2;1;0;0;0;1;0;0;0;0;0;0;39993344;19996672;0;4999168;1;1;128;1;1;;0,083;0,167
19,15;18,56;19,31;5001216;0;2;1;0;0;0;1;0;0;0;0;0;0;40009728;20004864;0;5001216;1;1;128;1;1;;0,083;0,167
19,38;18,71;20,75;5003264;0;2;1;0;0;0;1;0;0;0;0;0;0;40026112;20013056;0;5003264;1;1;128;1;1;;0,083;0,167
19,18;18,50;19,56;5005312;0;2;1;0;0;0;1;0;0;0;0;0;0;40042496;20021248;0;5005312;1;1;128;1;1;;0,083;0,167
19,28;18,77;19,90;5007360;0;2;1;0;0;0;1;0;0;0;0;0;0;40058880;20029440;0;5007360;1;1;128;1;1;;0,083;0,167
19,35;18,75;20,22;5009408;0;2;1;0;0;0;1;0;0;0;0;0;0;40075264;20037632;0;5009408;1;1;128;1;1;;0,083;0,167
19,35;18,81;20,77;5011456;0;2;1;0;0;0;1;0;0;0;0;0;0;40091648;20045824;0;5011456;1;1;128;1;1;;0,083;0,167
19,42;18,76;22,68;5013504;0;2;1;0;0;0;1;0;0;0;0;0;0;40108032;20054016;0;5013504;1;1;128;1;1;;0,083;0,167
19,38;18,86;19,39;5015552;0;2;1;0;0;0;1;0;0;0;0;0;0;40124416;20062208;0;5015552;1;1;128;1;1;;0,083;0,167
19,56;18,77;20,11;5017600;0;2;1;0;0;0;1;0;0;0;0;0;0;40140800;20070400;0;5017600;1;1;128;1;1;;0,083;0,167
19,16;18,64;19,35;5019648;0;2;1;0;0;0;1;0;0;0;0;0;0;40157184;20078592;0;5019648;1;1;128;1;1;;0,083;0,167
19,20;18,64;20,15;5021696;0;2;1;0;0;0;1;0;0;0;0;0;0;40173568;20086784;0;5021696;1;1;128;1;1;;0,083;0,167
19,72;18,81;19,41;5023744;0;2;1;0;0;0;1;0;0;0;0;0;0;40189952;20094976;0;5023744;1;1;128;1;1;;0,083;0,167
19,43;18,80;19,15;5025792;0;2;1;0;0;0;1;0;0;0;0;0;0;40206336;20103168;0;5025792;1;1;128;1;1;;0,083;0,167
18,96;18,66;19,80;5027840;0;2;1;0;0;0;1;0;0;0;0;0;0;40222720;20111360;0;5027840;1;1;128;1;1;;0,083;0,167
19,14;18,91;21,37;5029888;0;2;1;0;0;0;1;0;0;0;0;0;0;40239104;20119552;0;5029888;1;1;128;1;1;;0,083;0,167
19,42;18,66;20,99;5031936;0;2;1;0;0;0;1;0;0;0;0;0;0;40255488;20127744;0;5031936;1;1;128;1;1;;0,083;0,167
19,56;18,93;19,71;5033984;0;2;1;0;0;0;1;0;0;0;0;0;0;40271872;20135936;0;5033984;1;1;128;1;1;;0,083;0,167
20,23;18,75;20,33;5036032;0;2;1;0;0;0;1;0;0;0;0;0;0;40288256;20144128;0;5036032;1;1;128;1;1;;0,083;0,167
19,55;18,94;19,56;5038080;0;2;1;0;0;0;1;0;0;0;0;0;0;40304640;20152320;0;5038080;1;1;128;1;1;;0,083;0,167
19,57;18,96;21,41;5040128;0;2;1;0;0;0;1;0;0;0;0;0;0;40321024;20160512;0;5040128;1;1;128;1;1;;0,083;0,167
19,46;18,76;21,13;5042176;0;2;1;0;0;0;1;0;0;0;0;0;0;40337408;20168704;0;5042176;1;1;128;1;1;;0,083;0,167
19,28;18,76;19,96;5044224;0;2;1;0;0;0;1;0;0;0;0;0;0;40353792;20176896;0;5044224;1;1;128;1;1;;0,083;0,167
18,99;18,73;22,21;5046272;0;2;1;0;0;0;1;0;0;0;0;0;0;40370176;20185088;0;5046272;1;1;128;1;1;;0,083;0,167
19,81;18,89;20,46;5048320;0;2;1;0;0;0;1;0;0;0;0;0;0;40386560;20193280;0;5048320;1;1;128;1;1;;0,083;0,167
19,45;18,79;19,79;5050368;0;2;1;0;0;0;1;0;0;0;0;0;0;40402944;20201472;0;5050368;1;1;128;1;1;;0,083;0,167
19,46;18,72;19,89;5052416;0;2;1;0;0;0;1;0;0;0;0;0;0;40419328;20209664;0;5052416;1;1;128;1;1;;0,083;0,167
19,47;18,83;19,84;5054464;0;2;1;0;0;0;1;0;0;0;0;0;0;40435712;20217856;0;5054464;1;1;128;1;1;;0,083;0,167
19,72;19,04;19,93;5056512;0;2;1;0;0;0;1;0;0;0;0;0;0;40452096;20226048;0;5056512;1;1;128;1;1;;0,083;0,167
19,54;18,99;19,71;5058560;0;2;1;0;0;0;1;0;0;0;0;0;0;40468480;20234240;0;5058560;1;1;128;1;1;;0,083;0,167
19,37;18,46;19,56;5060608;0;2;1;0;0;0;1;0;0;0;0;0;0;40484864;20242432;0;5060608;1;1;128;1;1;;0,083;0,167
19,53;19,08;19,67;5062656;0;2;1;0;0;0;1;0;0;0;0;0;0;40501248;20250624;0;5062656;1;1;128;1;1;;0,083;0,167
19,77;18,98;20,79;5064704;0;2;1;0;0;0;1;0;0;0;0;0;0;40517632;20258816;0;5064704;1;1;128;1;1;;0,083;0,167
19,40;18,78;19,81;5066752;0;2;1;0;0;0;1;0;0;0;0;0;0;40534016;20267008;0;5066752;1;1;128;1;1;;0,083;0,167
19,53;19,01;20,03;5068800;0;2;1;0;0;0;1;0;0;0;0;0;0;40550400;20275200;0;5068800;1;1;128;1;1;;0,083;0,167
19,51;19,11;19,80;5070848;0;2;1;0;0;0;1;0;0;0;0;0;0;40566784;20283392;0;5070848;1;1;128;1;1;;0,083;0,167
19,36;18,74;18,58;5072896;0;2;1;0;0;0;1;0;0;0;0;0;0;40583168;20291584;0;5072896;1;1;128;1;1;;0,083;0,167
19,88;19,09;20,20;5074944;0;2;1;0;0;0;1;0;0;0;0;0;0;40599552;20299776;0;5074944;1;1;128;1;1;;0,083;0,167
19,76;18,88;20,69;5076992;0;2;1;0;0;0;1;0;0;0;0;0;0;40615936;20307968;0;5076992;1;1;128;1;1;;0,083;0,167
19,43;18,88;22,38;5079040;0;2;1;0;0;0;1;0;0;0;0;0;0;40632320;20316160;0;5079040;1;1;128;1;1;;0,083;0,167
19,30;18,90;20,27;5081088;0;2;1;0;0;0;1;0;0;0;0;0;0;40648704;20324352;0;5081088;1;1;128;1;1;;0,083;0,167
19,74;19,06;19,41;5083136;0;2;1;0;0;0;1;0;0;0;0;0;0;40665088;20332544;0;5083136;1;1;128;1;1;;0,083;0,167
19,78;18,97;19,68;5085184;0;2;1;0;0;0;1;0;0;0;0;0;0;40681472;20340736;0;5085184;1;1;128;1;1;;0,083;0,167
19,47;18,53;19,20;5087232;0;2;1;0;0;0;1;0;0;0;0;0;0;40697856;20348928;0;5087232;1;1;128;1;1;;0,083;0,167
20,10;19,12;21,46;5089280;0;2;1;0;0;0;1;0;0;0;0;0;0;40714240;20357120;0;5089280;1;1;128;1;1;;0,083;0,167
19,57;19,13;19,64;5091328;0;2;1;0;0;0;1;0;0;0;0;0;0;40730624;20365312;0;5091328;1;1;128;1;1;;0,083;0,167
19,61;19,06;20,25;5093376;0;2;1;0;0;0;1;0;0;0;0;0;0;40747008;20373504;0;5093376;1;1;128;1;1;;0,083;0,167
19,46;18,68;20,54;5095424;0;2;1;0;0;0;1;0;0;0;0;0;0;40763392;20381696;0;5095424;1;1;128;1;1;;0,083;0,167
19,66;19,09;19,54;5097472;0;2;1;0;0;0;1;0;0;0;0;0;0;40779776;20389888;0;5097472;1;1;128;1;1;;0,083;0,167
19,62;19,08;20,66;5099520;0;2;1;0;0;0;1;0;0;0;0;0;0;40796160;20398080;0;5099520;1;1;128;1;1;;0,083;0,167
19,61;19,00;19,80;5101568;0;2;1;0;0;0;1;0;0;0;0;0;0;40812544;20406272;0;5101568;1;1;128;1;1;;0,083;0,167
19,55;18,99;19,70;5103616;0;2;1;0;0;0;1;0;0;0;0;0;0;40828928;20414464;0;5103616;1;1;128;1;1;;0,083;0,167
20,42;19,00;20,15;5105664;0;2;1;0;0;0;1;0;0;0;0;0;0;40845312;20422656;0;5105664;1;1;128;1;1;;0,083;0,167
19,70;19,17;20,79;5107712;0;2;1;0;0;0;1;0;0;0;0;0;0;40861696;20430848;0;5107712;1;1;128;1;1;;0,083;0,167
19,53;19,10;20,48;5109760;0;2;1;0;0;0;1;0;0;0;0;0;0;40878080;20439040;0;5109760;1;1;128;1;1;;0,083;0,167
19,25;19,09;22,11;5111808;0;2;1;0;0;0;1;0;0;0;0;0;0;40894464;20447232;0;5111808;1;1;128;1;1;;0,083;0,167
19,48;18,95;20,44;5113856;0;2;1;0;0;0;1;0;0;0;0;0;0;40910848;20455424;0;5113856;1;1;128;1;1;;0,083;0,167
19,68;19,24;19,64;5115904;0;2;1;0;0;0;1;0;0;0;0;0;0;40927232;20463616;0;5115904;1;1;128;1;1;;0,083;0,167
19,51;18,68;20,69;5117952;0;2;1;0;0;0;1;0;0;0;0;0;0;40943616;20471808;0;5117952;1;1;128;1;1;;0,083;0,167
19,77;19,18;18,93;5120000;0;2;1;0;0;0;1;0;0;0;0;0;0;40960000;20480000;0;5120000;1;1;128;1;1;;0,083;0,167
19,78;18,88;19,98;5122048;0;2;1;0;0;0;1;0;0;0;0;0;0;40976384;20488192;0;5122048;1;1;128;1;1;;0,083;0,167
19,79;19,19;20,27;5124096;0;2;1;0;0;0;1;0;0;0;0;0;0;40992768;20496384;0;5124096;1;1;128;1;1;;0,083;0,167
20,12;19,17;20,91;5126144;0;2;1;0;0;0;1;0;0;0;0;0;0;41009152;20504576;0;5126144;1;1;128;1;1;;0,083;0,167
19,57;19,02;20,05;5128192;0;2;1;0;0;0;1;0;0;0;0;0;0;41025536;20512768;0;5128192;1;1;128;1;1;;0,083;0,167
19,82;19,26;19,87;5130240;0;2;1;0;0;0;1;0;0;0;0;0;0;41041920;20520960;0;5130240;1;1;128;1;1;;0,083;0,167
19,79;19,18;20,04;5132288;0;2;1;0;0;0;1;0;0;0;0;0;0;41058304;20529152;0;5132288;1;1;128;1;1;;0,083;0,167
19,78;19,26;20,42;5134336;0;2;1;0;0;0;1;0;0;0;0;0;0;41074688;20537344;0;5134336;1;1;128;1;1;;0,083;0,167
19,59;19,15;20,08;5136384;0;2;1;0;0;0;1;0;0;0;0;0;0;41091072;20545536;0;5136384;1;1;128;1;1;;0,083;0,167
19,86;19,18;20,30;5138432;0;2;1;0;0;0;1;0;0;0;0;0;0;41107456;20553728;0;5138432;1;1;128;1;1;;0,083;0,167
19,82;19,21;20,83;5140480;0;2;1;0;0;0;1;0;0;0;0;0;0;41123840;20561920;0;5140480;1;1;128;1;1;;0,083;0,167
19,79;19,29;19,18;5142528;0;2;1;0;0;0;1;0;0;0;0;0;0;41140224;20570112;0;5142528;1;1;128;1;1;;0,083;0,167
19,62;19,19;22,59;5144576;0;2;1;0;0;0;1;0;0;0;0;0;0;41156608;20578304;0;5144576;1;1;128;1;1;;0,083;0,167
20,00;18,88;21,34;5146624;0;2;1;0;0;0;1;0;0;0;0;0;0;41172992;20586496;0;5146624;1;1;128;1;1;;0,083;0,167
19,92;19,52;20,87;5148672;0;2;1;0;0;0;1;0;0;0;0;0;0;41189376;20594688;0;5148672;1;1;128;1;1;;0,083;0,167
20,35;19,15;19,82;5150720;0;2;1;0;0;0;1;0;0;0;0;0;0;41205760;20602880;0;5150720;1;1;128;1;1;;0,083;0,167
19,64;19,17;19,68;5152768;0;2;1;0;0;0;1;0;0;0;0;0;0;41222144;20611072;0;5152768;1;1;128;1;1;;0,083;0,167
19,95;18,97;21,32;5154816;0;2;1;0;0;0;1;0;0;0;0;0;0;41238528;20619264;0;5154816;1;1;128;1;1;;0,083;0,167
19,92;19,30;21,03;5156864;0;2;1;0;0;0;1;0;0;0;0;0;0;41254912;20627456;0;5156864;1;1;128;1;1;;0,083;0,167
19,92;19,22;20,00;5158912;0;2;1;0;0;0;1;0;0;0;0;0;0;41271296;20635648;0;5158912;1;1;128;1;1;;0,083;0,167
19,80;19,12;21,16;5160960;0;2;1;0;0;0;1;0;0;0;0;0;0;41287680;20643840;0;5160960;1;1;128;1;1;;0,083;0,167
19,93;19,26;20,36;5163008;0;2;1;0;0;0;1;0;0;0;0;0;0;41304064;20652032;0;5163008;1;1;128;1;1;;0,083;0,167
19,90;19,42;21,07;5165056;0;2;1;0;0;0;1;0;0;0;0;0;0;41320448;20660224;0;5165056;1;1;128;1;1;;0,083;0,167
19,83;19,28;20,95;5167104;0;2;1;0;0;0;1;0;0;0;0;0;0;41336832;20668416;0;5167104;1;1;128;1;1;;0,083;0,167
19,75;19,13;19,91;5169152;0;2;1;0;0;0;1;0;0;0;0;0;0;41353216;20676608;0;5169152;1;1;128;1;1;;0,083;0,167
19,96;19,39;19,60;5171200;0;2;1;0;0;0;1;0;0;0;0;0;0;41369600;20684800;0;5171200;1;1;128;1;1;;0,083;0,167
19,89;19,39;21,13;5173248;0;2;1;0;0;0;1;0;0;0;0;0;0;41385984;20692992;0;5173248;1;1;128;1;1;;0,083;0,167
19,94;19,38;19,88;5175296;0;2;1;0;0;0;1;0;0;0;0;0;0;41402368;20701184;0;5175296;1;1;128;1;1;;0,083;0,167
19,49;19,70;21,62;5177344;0;2;1;0;0;0;1;0;0;0;0;0;0;41418752;20709376;0;5177344;1;1;128;1;1;;0,083;0,167
19,75;19,18;20,32;5179392;0;2;1;0;0;0;1;0;0;0;0;0;0;41435136;20717568;0;5179392;1;1;128;1;1;;0,083;0,167
20,19;19,30;20,90;5181440;0;2;1;0;0;0;1;0;0;0;0;0;0;41451520;20725760;0;5181440;1;1;128;1;1;;0,083;0,167
20,29;19,34;20,29;5183488;0;2;1;0;0;0;1;0;0;0;0;0;0;41467904;20733952;0;5183488;1;1;128;1;1;;0,083;0,167
19,83;19,24;20,26;5185536;0;2;1;0;0;0;1;0;0;0;0;0;0;41484288;20742144;0;5185536;1;1;128;1;1;;0,083;0,167
20,01;19,37;19,84;5187584;0;2;1;0;0;0;1;0;0;0;0;0;0;41500672;20750336;0;5187584;1;1;128;1;1;;0,083;0,167
19,96;19,45;21,72;5189632;0;2;1;0;0;0;1;0;0;0;0;0;0;41517056;20758528;0;5189632;1;1;128;1;1;;0,083;0,167
20,24;19,36;21,09;5191680;0;2;1;0;0;0;1;0;0;0;0;0;0;41533440;20766720;0;5191680;1;1;128;1;1;;0,083;0,167
19,92;19,21;19,92;5193728;0;2;1;0;0;0;1;0;0;0;0;0;0;41549824;20774912;0;5193728;1;1;128;1;1;;0,083;0,167
19,98;19,49;20,35;5195776;0;2;1;0;0;0;1;0;0;0;0;0;0;41566208;20783104;0;5195776;1;1;128;1;1;;0,083;0,167
19,88;19,41;21,19;5197824;0;2;1;0;0;0;1;0;0;0;0;0;0;41582592;20791296;0;5197824;1;1;128;1;1;;0,083;0,167
