Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0,0,2,1,0,0,0,1,0,0,0,0,0,0,117440512,58720256,0,14680064,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,62.97,110.94,61.32
0,0,2,1,0,0,0,1,0,0,0,0,0,0,119537664,59768832,0,14942208,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,63.46,111.6,61.04
0,0,2,1,0,0,0,1,0,0,0,0,0,0,121634816,60817408,0,15204352,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,65.26,113.52,62.52
0,0,2,1,0,0,0,1,0,0,0,0,0,0,123731968,61865984,0,15466496,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,65.96,113.99,62.74
0,0,2,1,0,0,0,1,0,0,0,0,0,0,125829120,62914560,0,15728640,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,66.55,117.81,64.88
0,0,2,1,0,0,0,1,0,0,0,0,0,0,127926272,63963136,0,15990784,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,67.93,119.77,65.7
0,0,2,1,0,0,0,1,0,0,0,0,0,0,130023424,65011712,0,16252928,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,68.71,120.26,66.57
0,0,2,1,0,0,0,1,0,0,0,0,0,0,132120576,66060288,0,16515072,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,69.2,121.66,67.54
0,0,2,1,0,0,0,1,0,0,0,0,0,0,134217728,67108864,0,16777216,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,73.23,131.9,73.55
1,1,64,1,0,0,0,128,0,0,1,0,0,0,16384,256,0,64,1,1,64,1,1,64,0.0625,1,0,1,0,0,1,1.69,1.93,5.4
1,1,128,1,0,0,0,256,0,0,1,0,0,0,65536,512,0,128,1,1,64,1,1,128,0.0625,1,0,1,0,0,1,2.04,2.29,12.7
1,1,192,1,0,0,0,384,0,0,1,0,0,0,147456,768,0,192,1,1,64,1,1,192,0.0625,1,0,1,0,0,1,1.98,2.23,7.9
