Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
1,1.00,448.00,1.00,0.00,0.00,0.00,896.00,0.00,0.00,1.00,0.00,0.00,0.00,802816.00,1792.00,0.00,448.00,1.00,1.00,64.00,1.00,1.00,448.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,2.41,2.36,1.45
1,1.00,512.00,1.00,0.00,0.00,0.00,1024.00,0.00,0.00,1.00,0.00,0.00,0.00,1048576.00,2048.00,0.00,512.00,1.00,1.00,64.00,1.00,1.00,512.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,2.63,2.54,1.97
1,1.00,576.00,1.00,0.00,0.00,0.00,1152.00,0.00,0.00,1.00,0.00,0.00,0.00,1327104.00,2304.00,0.00,576.00,1.00,1.00,64.00,1.00,1.00,576.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,2.57,2.71,1.72
1,1.00,640.00,1.00,0.00,0.00,0.00,1280.00,0.00,0.00,1.00,0.00,0.00,0.00,1638400.00,2560.00,0.00,640.00,1.00,1.00,64.00,1.00,1.00,640.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,2.86,2.60,2.03
1,1.00,704.00,1.00,0.00,0.00,0.00,1408.00,0.00,0.00,1.00,0.00,0.00,0.00,1982464.00,2816.00,0.00,704.00,1.00,1.00,64.00,1.00,1.00,704.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,2.87,2.99,1.78
1,1.00,768.00,1.00,0.00,0.00,0.00,1536.00,0.00,0.00,1.00,0.00,0.00,0.00,2359296.00,3072.00,0.00,768.00,1.00,1.00,64.00,1.00,1.00,768.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,3.07,2.98,2.30
1,1.00,832.00,1.00,0.00,0.00,0.00,1664.00,0.00,0.00,1.00,0.00,0.00,0.00,2768896.00,3328.00,0.00,832.00,1.00,1.00,64.00,1.00,1.00,832.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,2.94,3.25,2.25
1,1.00,896.00,1.00,0.00,0.00,0.00,1792.00,0.00,0.00,1.00,0.00,0.00,0.00,3211264.00,3584.00,0.00,896.00,1.00,1.00,64.00,1.00,1.00,896.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,3.00,3.24,2.27
1,1.00,960.00,1.00,0.00,0.00,0.00,1920.00,0.00,0.00,1.00,0.00,0.00,0.00,3686400.00,3840.00,0.00,960.00,1.00,1.00,64.00,1.00,1.00,960.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,3.34,3.27,2.56
1,1.00,1024.00,1.00,0.00,0.00,0.00,2048.00,0.00,0.00,1.00,0.00,0.00,0.00,4194304.00,4096.00,0.00,1024.00,1.00,1.00,64.00,1.00,1.00,1024.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,3.40,3.52,10.75
1,1.00,1088.00,1.00,0.00,0.00,0.00,2176.00,0.00,0.00,1.00,0.00,0.00,0.00,4734976.00,4352.00,0.00,1088.00,1.00,1.00,64.00,1.00,1.00,1088.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,3.48,3.74,3.96
1,1.00,1152.00,1.00,0.00,0.00,0.00,2304.00,0.00,0.00,1.00,0.00,0.00,0.00,5308416.00,4608.00,0.00,1152.00,1.00,1.00,64.00,1.00,1.00,1152.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,3.67,3.92,4.81
1,1.00,1216.00,1.00,0.00,0.00,0.00,2432.00,0.00,0.00,1.00,0.00,0.00,0.00,5914624.00,4864.00,0.00,1216.00,1.00,1.00,64.00,1.00,1.00,1216.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,3.72,3.98,5.47
1,1.00,1280.00,1.00,0.00,0.00,0.00,2560.00,0.00,0.00,1.00,0.00,0.00,0.00,6553600.00,5120.00,0.00,1280.00,1.00,1.00,64.00,1.00,1.00,1280.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,3.93,4.13,5.93
1,1.00,1344.00,1.00,0.00,0.00,0.00,2688.00,0.00,0.00,1.00,0.00,0.00,0.00,7225344.00,5376.00,0.00,1344.00,1.00,1.00,64.00,1.00,1.00,1344.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,4.18,4.19,6.23
1,1.00,1408.00,1.00,0.00,0.00,0.00,2816.00,0.00,0.00,1.00,0.00,0.00,0.00,7929856.00,5632.00,0.00,1408.00,1.00,1.00,64.00,1.00,1.00,1408.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,4.42,4.71,6.77
1,1.00,1472.00,1.00,0.00,0.00,0.00,2944.00,0.00,0.00,1.00,0.00,0.00,0.00,8667136.00,5888.00,0.00,1472.00,1.00,1.00,64.00,1.00,1.00,1472.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,4.49,4.51,7.15
1,1.00,1536.00,1.00,0.00,0.00,0.00,3072.00,0.00,0.00,1.00,0.00,0.00,0.00,9437184.00,6144.00,0.00,1536.00,1.00,1.00,64.00,1.00,1.00,1536.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,4.73,4.88,20.21
1,1.00,1600.00,1.00,0.00,0.00,0.00,3200.00,0.00,0.00,1.00,0.00,0.00,0.00,10240000.00,6400.00,0.00,1600.00,1.00,1.00,64.00,1.00,1.00,1600.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,4.86,5.08,8.00
1,1.00,1664.00,1.00,0.00,0.00,0.00,3328.00,0.00,0.00,1.00,0.00,0.00,0.00,11075584.00,6656.00,0.00,1664.00,1.00,1.00,64.00,1.00,1.00,1664.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,5.11,5.33,8.84
1,1.00,1728.00,1.00,0.00,0.00,0.00,3456.00,0.00,0.00,1.00,0.00,0.00,0.00,11943936.00,6912.00,0.00,1728.00,1.00,1.00,64.00,1.00,1.00,1728.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,5.37,5.63,9.28
1,1.00,1792.00,1.00,0.00,0.00,0.00,3584.00,0.00,0.00,1.00,0.00,0.00,0.00,12845056.00,7168.00,0.00,1792.00,1.00,1.00,64.00,1.00,1.00,1792.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,5.62,5.92,9.78
1,1.00,1856.00,1.00,0.00,0.00,0.00,3712.00,0.00,0.00,1.00,0.00,0.00,0.00,13778944.00,7424.00,0.00,1856.00,1.00,1.00,64.00,1.00,1.00,1856.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,5.86,6.08,10.20
1,1.00,1920.00,1.00,0.00,0.00,0.00,3840.00,0.00,0.00,1.00,0.00,0.00,0.00,14745600.00,7680.00,0.00,1920.00,1.00,1.00,64.00,1.00,1.00,1920.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,6.18,6.58,11.13
1,1.00,1984.00,1.00,0.00,0.00,0.00,3968.00,0.00,0.00,1.00,0.00,0.00,0.00,15745024.00,7936.00,0.00,1984.00,1.00,1.00,64.00,1.00,1.00,1984.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,6.32,6.48,11.62
1,1.00,2048.00,1.00,0.00,0.00,0.00,4096.00,0.00,0.00,1.00,0.00,0.00,0.00,16777216.00,8192.00,0.00,2048.00,1.00,1.00,64.00,1.00,1.00,2048.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,6.62,7.07,47.76
2,1.00,64.00,1.00,0.00,0.00,0.00,128.00,0.00,0.00,1.00,0.00,0.00,0.00,16384.00,256.00,0.00,64.00,1.00,1.00,64.00,1.00,1.00,64.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.59,1.68,1.20
2,1.00,128.00,1.00,0.00,0.00,0.00,256.00,0.00,0.00,1.00,0.00,0.00,0.00,65536.00,512.00,0.00,128.00,1.00,1.00,64.00,1.00,1.00,128.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.53,1.95,1.62
2,1.00,192.00,1.00,0.00,0.00,0.00,384.00,0.00,0.00,1.00,0.00,0.00,0.00,147456.00,768.00,0.00,192.00,1.00,1.00,64.00,1.00,1.00,192.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.56,1.77,1.47
2,1.00,256.00,1.00,0.00,0.00,0.00,512.00,0.00,0.00,1.00,0.00,0.00,0.00,262144.00,1024.00,0.00,256.00,1.00,1.00,64.00,1.00,1.00,256.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.62,1.89,1.51
2,1.00,320.00,1.00,0.00,0.00,0.00,640.00,0.00,0.00,1.00,0.00,0.00,0.00,409600.00,1280.00,0.00,320.00,1.00,1.00,64.00,1.00,1.00,320.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.58,2.06,1.54
2,1.00,384.00,1.00,0.00,0.00,0.00,768.00,0.00,0.00,1.00,0.00,0.00,0.00,589824.00,1536.00,0.00,384.00,1.00,1.00,64.00,1.00,1.00,384.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.60,2.12,1.52
2,1.00,448.00,1.00,0.00,0.00,0.00,896.00,0.00,0.00,1.00,0.00,0.00,0.00,802816.00,1792.00,0.00,448.00,1.00,1.00,64.00,1.00,1.00,448.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.73,2.58,1.58
2,1.00,512.00,1.00,0.00,0.00,0.00,1024.00,0.00,0.00,1.00,0.00,0.00,0.00,1048576.00,2048.00,0.00,512.00,1.00,1.00,64.00,1.00,1.00,512.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.83,2.52,1.74
2,1.00,576.00,1.00,0.00,0.00,0.00,1152.00,0.00,0.00,1.00,0.00,0.00,0.00,1327104.00,2304.00,0.00,576.00,1.00,1.00,64.00,1.00,1.00,576.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,2.17,2.41,1.81
2,1.00,640.00,1.00,0.00,0.00,0.00,1280.00,0.00,0.00,1.00,0.00,0.00,0.00,1638400.00,2560.00,0.00,640.00,1.00,1.00,64.00,1.00,1.00,640.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,2.16,3.10,2.06
2,1.00,704.00,1.00,0.00,0.00,0.00,1408.00,0.00,0.00,1.00,0.00,0.00,0.00,1982464.00,2816.00,0.00,704.00,1.00,1.00,64.00,1.00,1.00,704.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,2.45,3.07,2.03
2,1.00,768.00,1.00,0.00,0.00,0.00,1536.00,0.00,0.00,1.00,0.00,0.00,0.00,2359296.00,3072.00,0.00,768.00,1.00,1.00,64.00,1.00,1.00,768.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,2.63,2.99,1.96
2,1.00,832.00,1.00,0.00,0.00,0.00,1664.00,0.00,0.00,1.00,0.00,0.00,0.00,2768896.00,3328.00,0.00,832.00,1.00,1.00,64.00,1.00,1.00,832.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,2.81,3.12,2.07
