Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Num groups,Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Cache Misses,Miss Ratio,Tahiti Compute units,Devastator compute units,Tahit batch count,Devastator batch count,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0,0,2,1,0,0,0,1,0,0,0,0,0,0,61865984,30932992,0,7733248,1,1,128,1,1,60416,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,29.02,28.18,27.95
0,0,2,1,0,0,0,1,0,0,0,0,0,0,62914560,31457280,0,7864320,1,1,128,1,1,61440,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,29.21,28.52,27.95
0,0,2,1,0,0,0,1,0,0,0,0,0,0,63963136,31981568,0,7995392,1,1,128,1,1,62464,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,29.81,29.21,30.02
0,0,2,1,0,0,0,1,0,0,0,0,0,0,65011712,32505856,0,8126464,1,1,128,1,1,63488,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,30.38,29.69,28.37
0,0,2,1,0,0,0,1,0,0,0,0,0,0,66060288,33030144,0,8257536,1,1,128,1,1,64512,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,30.57,30.65,28.59
0,0,2,1,0,0,0,1,0,0,0,0,0,0,67108864,33554432,0,8388608,1,1,128,1,1,65536,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,32.99,31.32,29.47
0,0,2,1,0,0,0,1,0,0,0,0,0,0,68157440,34078720,0,8519680,1,1,128,1,1,66560,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,33.33,32.45,34.88
0,0,2,1,0,0,0,1,0,0,0,0,0,0,69206016,34603008,0,8650752,1,1,128,1,1,67584,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,33.53,32.29,31.01
0,0,2,1,0,0,0,1,0,0,0,0,0,0,70254592,35127296,0,8781824,1,1,128,1,1,68608,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,34,32.61,31.16
0,0,2,1,0,0,0,1,0,0,0,0,0,0,71303168,35651584,0,8912896,1,1,128,1,1,69632,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,34.63,33.14,31.23
0,0,2,1,0,0,0,1,0,0,0,0,0,0,72351744,36175872,0,9043968,1,1,128,1,1,70656,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,34.8,33.39,35.07
0,0,2,1,0,0,0,1,0,0,0,0,0,0,73400320,36700160,0,9175040,1,1,128,1,1,71680,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,35.66,34.08,37.03
0,0,2,1,0,0,0,1,0,0,0,0,0,0,74448896,37224448,0,9306112,1,1,128,1,1,72704,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,36.01,34.38,35.91
0,0,2,1,0,0,0,1,0,0,0,0,0,0,75497472,37748736,0,9437184,1,1,128,1,1,73728,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,36.46,35.04,36.16
0,0,2,1,0,0,0,1,0,0,0,0,0,0,76546048,38273024,0,9568256,1,1,128,1,1,74752,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,36.58,35.24,37.11
0,0,2,1,0,0,0,1,0,0,0,0,0,0,77594624,38797312,0,9699328,1,1,128,1,1,75776,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,37.42,35.66,37.35
0,0,2,1,0,0,0,1,0,0,0,0,0,0,78643200,39321600,0,9830400,1,1,128,1,1,76800,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,37.98,36.32,37.84
0,0,2,1,0,0,0,1,0,0,0,0,0,0,79691776,39845888,0,9961472,1,1,128,1,1,77824,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,38.87,36.54,39.33
0,0,2,1,0,0,0,1,0,0,0,0,0,0,80740352,40370176,0,10092544,1,1,128,1,1,78848,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,39.04,37.26,40.41
0,0,2,1,0,0,0,1,0,0,0,0,0,0,81788928,40894464,0,10223616,1,1,128,1,1,79872,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,41.22,37.38,42.01
0,0,2,1,0,0,0,1,0,0,0,0,0,0,82837504,41418752,0,10354688,1,1,128,1,1,80896,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,41.6,37.84,41.55
0,0,2,1,0,0,0,1,0,0,0,0,0,0,83886080,41943040,0,10485760,1,1,128,1,1,81920,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,42.68,38.27,42.43
0,0,2,1,0,0,0,1,0,0,0,0,0,0,84934656,42467328,0,10616832,1,1,128,1,1,82944,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,43.83,39.14,37.24
0,0,2,1,0,0,0,1,0,0,0,0,0,0,85983232,42991616,0,10747904,1,1,128,1,1,83968,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,42.87,41.06,43.48
0,0,2,1,0,0,0,1,0,0,0,0,0,0,87031808,43515904,0,10878976,1,1,128,1,1,84992,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,45.11,39.51,43.42
0,0,2,1,0,0,0,1,0,0,0,0,0,0,88080384,44040192,0,11010048,1,1,128,1,1,86016,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,44.1,40.01,44.55
0,0,2,1,0,0,0,1,0,0,0,0,0,0,89128960,44564480,0,11141120,1,1,128,1,1,87040,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,46.16,41.33,44.32
0,0,2,1,0,0,0,1,0,0,0,0,0,0,90177536,45088768,0,11272192,1,1,128,1,1,88064,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,47.71,42.46,47.59
0,0,2,1,0,0,0,1,0,0,0,0,0,0,91226112,45613056,0,11403264,1,1,128,1,1,89088,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,48.77,42.04,45.22
0,0,2,1,0,0,0,1,0,0,0,0,0,0,92274688,46137344,0,11534336,1,1,128,1,1,90112,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,52.52,44.4,44.2
0,0,2,1,0,0,0,1,0,0,0,0,0,0,93323264,46661632,0,11665408,1,1,128,1,1,91136,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,53.03,43.57,45.23
0,0,2,1,0,0,0,1,0,0,0,0,0,0,94371840,47185920,0,11796480,1,1,128,1,1,92160,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,50.03,45.01,46.42
0,0,2,1,0,0,0,1,0,0,0,0,0,0,95420416,47710208,0,11927552,1,1,128,1,1,93184,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,47.64,45.02,47.22
0,0,2,1,0,0,0,1,0,0,0,0,0,0,96468992,48234496,0,12058624,1,1,128,1,1,94208,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,49.85,45.94,47.04
0,0,2,1,0,0,0,1,0,0,0,0,0,0,97517568,48758784,0,12189696,1,1,128,1,1,95232,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,51.01,46.72,46.89
0,0,2,1,0,0,0,1,0,0,0,0,0,0,98566144,49283072,0,12320768,1,1,128,1,1,96256,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,51.07,47.22,47.71
0,0,2,1,0,0,0,1,0,0,0,0,0,0,99614720,49807360,0,12451840,1,1,128,1,1,97280,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,53,50.77,51.11
0,0,2,1,0,0,0,1,0,0,0,0,0,0,100663296,50331648,0,12582912,1,1,128,1,1,98304,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,52.82,46.98,46.24
0,0,2,1,0,0,0,1,0,0,0,0,0,0,101711872,50855936,0,12713984,1,1,128,1,1,99328,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,53.87,47.02,48.61
0,0,2,1,0,0,0,1,0,0,0,0,0,0,102760448,51380224,0,12845056,1,1,128,1,1,100352,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,53.85,49.54,50.94
0,0,2,1,0,0,0,1,0,0,0,0,0,0,103809024,51904512,0,12976128,1,1,128,1,1,101376,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,56.5,51.68,44.71
0,0,2,1,0,0,0,1,0,0,0,0,0,0,104857600,52428800,0,13107200,1,1,128,1,1,102400,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,54.38,50.1,51.57
0,0,2,1,0,0,0,1,0,0,0,0,0,0,105906176,52953088,0,13238272,1,1,128,1,1,103424,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,57.32,52.26,48.28
0,0,2,1,0,0,0,1,0,0,0,0,0,0,106954752,53477376,0,13369344,1,1,128,1,1,104448,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,58.33,52.18,51.08
0,0,2,1,0,0,0,1,0,0,0,0,0,0,108003328,54001664,0,13500416,1,1,128,1,1,105472,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,57.11,51.87,51.7
0,0,2,1,0,0,0,1,0,0,0,0,0,0,109051904,54525952,0,13631488,1,1,128,1,1,106496,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,56.24,53.94,55.55
0,0,2,1,0,0,0,1,0,0,0,0,0,0,110100480,55050240,0,13762560,1,1,128,1,1,107520,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,58.08,54.07,54.08
0,0,2,1,0,0,0,1,0,0,0,0,0,0,111149056,55574528,0,13893632,1,1,128,1,1,108544,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,59.26,55.34,53.39
